MMSI,retrofit,STW,CPA,SourceDepth,Low_MSL,Mid_MSL,High_MSL,Low_RNL,Mid_RNL,High_RNL
220379000,1,6.208375951,3508.628242,5.995,186.4752343,181.6126727,176.5086684,171.5397308,176.0018788,176.5086684
220379000,0,9.657447555,3282.311959,3.25,201.48019,192.4178269,179.3401499,181.9963045,180.9406111,179.3247749
220379000,1,6.064579675,4542.872581,4.845,189.6763724,187.8677679,177.5911946,170.8681052,179.4634695,177.5893838
220379000,0,4.536682509,4398.65169,4.05,185.9036253,176.6184396,166.2635155,162.4848439,166.1794789,166.1974596
220379000,0,5.448243471,3892.125742,2.39,200.650914,186.130789,174.6452869,171.8774654,172.9188324,173.7695318
220379000,1,9.239591805,3894.452261,4.595,200.5383981,193.0834015,176.1586073,182.4931304,183.5747299,176.1586073
220379000,1,5.925317807,4104.496174,3.25,191.9384937,183.6343214,170.2467625,166.5259862,172.5408872,169.8905732
220379000,1,10.79235574,2284.862505,4.845,205.5923301,199.3203094,183.494961,188.3288157,189.7531563,183.494961
220379000,1,9.826312844,3461.28882,3.295,207.4865909,195.9654159,177.889986,187.1008465,184.8985672,177.8516341
220379000,0,5.709857,4398.339814,2.35,193.8730782,189.0870454,171.3627059,167.0465755,174.2577486,169.5016938
220379000,0,8.845288428,4090.106008,3.75,205.9173724,198.2113924,176.4973949,185.7629433,184.507273,176.0977993
220379000,0,10.59875895,3391.033131,3.15,207.7098246,198.648553,187.5145164,186.7403998,186.6469822,187.4881629
220379000,0,9.701217374,4106.750237,3.45,202.7851421,193.6906916,181.0640354,181.6872979,181.463288,180.9809189
220379000,1,9.277028359,3238.973215,4.6,202.4400609,193.9025707,180.8759422,182.8449945,183.4462111,180.8728208
220379000,1,9.176343709,3543.556334,7.495,197.6755997,187.4000387,177.3556298,183.9317291,183.1234122,177.3556298
220397000,0,5.789540007,3937.309633,3.55,191.5219952,183.5266246,175.4234499,170.2444877,174.9284157,175.3446172
220397000,0,6.947667448,4915.757348,2.95,196.1358495,185.836202,172.7273128,170.5563989,172.5822439,171.4584375
220397000,1,5.988128461,3457.375832,4.395,187.5683706,181.9634702,172.5757886,169.0255608,174.9005087,172.5757886
220397000,1,6.618341313,3409.047268,4.495,188.0589017,184.7778598,176.1999505,170.8064753,178.2441748,176.1999505
220397000,0,7.513781911,4308.804018,4.5,199.3051029,188.0722806,177.2028999,177.6233772,178.3224588,177.1929222
220397000,1,7.40564397,4050.219213,4.895,197.1579526,189.9339059,171.6105371,175.1187972,181.8920039,171.6105371
220397000,1,6.516048846,3150.521912,4.13,188.7065171,182.3721584,173.7199347,169.2928545,175.6858949,173.7199347
220397000,0,6.871879427,3711.742171,5.9,190.065853,181.5193912,174.1198867,173.807635,175.5917108,174.1198867
220413000,0,5.929189625,4754.144579,2.5,195.8508482,187.8432695,178.0484969,168.3858202,173.6548202,174.3062593
220413000,1,6.333244107,3014.080928,3.895,186.3065532,184.5444657,177.2356668,169.7329978,177.5852158,177.2356668
220413000,1,6.994102615,4172.471149,4.995,190.1900496,184.4941321,171.1267407,171.8458668,176.5129914,171.1267407
220413000,1,6.07470433,3497.812374,6.595,182.7667089,174.6993892,173.4106826,167.2947133,171.3774466,173.4106826
220413000,0,5.977270176,4342.492078,4.15,190.6044323,182.5757241,167.7521914,167.9508308,173.3458561,167.6897508
220413000,0,4.382362289,4151.933156,3.65,185.2419821,183.9359411,168.1073218,162.4130411,178.4586373,167.9889592
220413000,1,6.307844146,1723.820324,4.395,183.402311,184.597572,177.9316465,172.4659199,183.0770032,177.9316465
220413000,1,6.264787065,3336.804815,3.45,193.1822429,185.4155705,175.1119363,172.1043692,176.3707678,174.966857
220413000,0,6.243941395,4001.013637,2.85,192.9970596,184.268407,171.9975186,167.7298869,172.4240321,171.545772
220414000,0,6.113485814,4064.547354,3.95,188.2116961,182.1094619,171.5949628,168.4920958,172.3536743,171.4956283
220414000,0,6.070960548,4143.543173,3.15,194.533264,186.6890636,172.7092346,169.4279157,174.5951772,172.4098921
220414000,1,4.714781277,3772.425,3.695,185.691928,181.7271147,171.3544629,166.1681154,172.0786683,171.3232067
220414000,0,6.08999514,3973.824234,2.85,209.5541566,204.0390959,185.3302193,184.9860947,191.5974487,184.4757258
220414000,1,11.73815235,3270.605982,4.495,205.8832863,195.6772911,183.0417059,189.1747658,187.962951,183.0417059
220414000,1,9.541904801,4149.310355,4.095,203.4120904,198.6349687,176.4998797,184.5637491,187.407987,176.462031
220414000,1,8.963128373,3089.239205,4.495,200.3470598,192.7843793,177.0821825,184.0591081,184.7440385,177.0821825
220415000,1,5.510831215,3118.236942,6.295,184.1377444,179.3565849,174.8396362,168.852371,177.1762265,174.8396362
220415000,0,5.869506083,4066.759105,3.75,191.661394,182.9680888,169.6506988,170.2926388,173.655357,169.4342581
220415000,0,8.330039383,3984.476118,4.7,196.47914,188.4071565,180.9403073,178.4273045,180.6885081,180.9403073
220415000,0,5.562368689,4006.784677,2.65,191.1341645,183.1644237,171.8981675,164.7142416,170.4543945,171.3825987
220415000,0,6.206000119,4321.77985,2.65,195.3210728,186.962066,171.1172091,169.9435798,173.2579283,169.6612357
220415000,1,6.224867572,4755.484052,5.2,183.7296463,175.7652871,164.7893606,164.2407735,167.6257265,164.7892687
220415000,1,5.692155628,3868.733751,5.195,189.8946796,184.9705031,180.3027906,173.7947661,178.7898927,180.3027906
220416000,1,5.979071533,3856.328,3.485,191.6439996,183.9287501,170.5899541,169.1353362,173.3787329,170.4868314
220416000,1,6.0189948,3111.98465,5.645,187.8028401,179.1484875,176.0694981,169.6427861,174.9522607,176.0694981
220416000,1,5.092912416,3816.824635,5.795,184.0235632,179.9153213,172.6305591,167.9642447,174.3269141,172.6305591
220593000,1,5.916106,3496.260684,4.795,191.0218564,184.6869687,174.773941,172.3161384,177.0267369,174.773941
220593000,1,5.254291496,3205.904028,3.545,188.9583302,183.9223817,176.5778925,169.7809013,176.1835932,176.5778925
220593000,0,6.331282184,3976.768324,1.95,198.6394376,190.1777111,174.0790112,170.2554808,174.658898,172.3317466
220593000,0,5.144555526,4542.89475,3.95,188.0878298,181.331556,166.7079709,167.6031839,170.5915632,166.5400273
220593000,0,8.19637975,3575.609757,3.65,204.6352382,196.9859381,181.2217,183.8031263,183.8132522,180.9969783
220593000,0,4.140145555,4340.629194,3.65,193.9359341,184.0937146,170.7167727,169.8391733,172.7486878,170.3933221
220593000,1,4.709463569,2922.825586,4.745,183.6430044,181.868162,175.9455051,167.8069612,176.4651467,175.9455051
220593000,0,8.732687711,4459.44932,2.75,206.1417116,200.3417848,174.3335069,183.3176776,184.4268273,173.0445719
220593000,0,8.863475429,4573.024398,4.06,202.5776659,195.2252013,172.373386,183.6626484,181.7368808,172.2353194
220593000,1,4.421888154,4313.320239,5.345,183.952853,177.7797543,166.1393258,164.8700106,170.1547607,166.1393258
220593000,1,10.38586178,3816.062838,5.895,203.9242589,196.732914,184.4536752,189.5339429,189.8478954,184.4536752
220594000,0,6.61395021,3949.90282,2.75,191.4252677,183.6988678,169.0099987,168.2050988,170.8741441,168.5311729
220594000,1,9.9287692,2640.629411,4.345,205.479399,199.2384806,183.6488137,189.686579,191.7194235,183.6488137
220594000,1,6.372213967,3562.508661,2.595,193.8426556,189.7529657,174.9989214,171.4790169,177.7792032,174.6275821
220594000,1,9.500717421,3151.80038,3.395,202.9429377,195.4443338,179.9294015,183.6655676,185.7983019,179.9284024
220594000,1,5.302967757,3792.471284,4.295,188.1709825,185.736466,167.8394335,168.9112289,175.4482084,167.8332694
220594000,1,7.681682288,3645.631512,2.695,197.2715264,193.7409795,178.8728664,175.7139582,181.7638974,178.3903391
220594000,1,6.70961422,3379.849978,5.095,185.277626,183.5390987,175.8476431,169.9392454,177.7275248,175.8476431
220594000,1,7.72125894,2761.395686,3.645,195.9265301,193.0223678,179.4639965,178.797092,184.3142769,179.4639965
220594000,0,5.887138544,3911.428115,3.8,189.2070299,183.6203907,166.4391176,170.0390173,172.472294,166.3855003
220594000,1,10.98366367,3197.067354,3.895,208.6262946,198.3870779,180.0292039,190.904318,189.2624133,180.0292039
220594000,0,6.014751282,4122.523467,2.6,196.700258,191.2295613,175.2065552,173.6348442,176.6616098,173.9193351
220594000,0,6.380102883,4061.333095,2.55,194.5276652,187.359886,172.6937519,169.8494462,173.8634282,171.7084517
220594000,0,5.380552273,4588.874763,3.35,195.5461768,186.537501,171.3561967,173.3143943,173.8667826,170.8374907
220594000,1,10.2165923,3850.210205,3.095,206.255293,197.459959,177.3579912,185.8752985,185.3230345,176.885238
220595000,0,6.880787841,4043.528705,2.32,194.9852097,186.866676,173.3361655,170.1690604,172.3996538,171.5363235
220595000,0,5.812688872,3397.184967,4.33,190.074937,181.6533846,171.461546,170.8769435,173.8601013,171.461546
220595000,0,6.128368023,4258.432848,4.43,188.3433792,180.4809356,166.5060492,170.3828775,169.6776156,166.5001847
220595000,0,6.3276612,4181.636495,2.48,197.1919986,188.77755,172.1490331,172.1414914,173.6546998,171.0571159
220595000,0,5.933794584,3958.407005,3.74,193.3454113,187.2386711,173.9809371,173.5043855,176.5429192,173.9278621
220596000,1,4.750175861,3576.909256,4.845,185.6858669,178.2613987,168.2790772,166.9740907,171.0947396,168.2790772
220596000,0,6.683301115,4331.671581,2.14,195.5800799,189.8471659,173.3256683,169.6222989,173.7734268,170.8558042
220596000,1,9.043606701,3757.338201,3.795,196.8303054,191.1200584,172.5113303,178.554066,181.5482096,172.4682087
220596000,0,5.02877534,4314.546915,2.95,193.9256658,188.1626435,173.1981675,171.1414997,175.0758237,172.6570182
220596000,1,9.4657696,4778.292719,2.745,208.5260548,202.447859,178.6306693,185.4227186,187.0776903,176.5459393
220596000,0,5.946042095,4336.072345,2.95,190.9357291,186.2075359,168.7604234,167.722845,173.7949254,167.7289668
220596000,0,6.936034775,4225.065775,3.75,194.1852951,187.6817324,172.199583,174.3999335,175.0511282,172.0726422
220596000,1,8.858586898,3073.239146,4.045,200.6739949,194.4497557,181.8503127,182.5763689,186.1980156,181.8503127
220596000,1,6.827265365,3562.55085,4.195,191.9654836,186.2154375,177.8559902,172.425943,178.5872821,177.8559902
220597000,0,4.920986602,4247.743865,3.75,200.8559286,194.0472242,175.2694377,178.6492792,179.8103894,174.772202
220597000,1,5.708000236,3783.879117,5.195,188.8731622,180.2511282,172.6845147,170.9655506,173.9320442,172.6845147
220597000,1,6.514734372,3201.838011,5.695,186.1083903,178.2787261,173.8158536,170.9661996,175.0543689,173.8158536
220597000,1,5.366959012,2948.558343,2.895,191.3364659,186.2908978,175.4761753,168.4941707,176.9854579,175.4596509
220597000,1,9.533035591,3605.249628,3.495,203.8786854,196.6688795,177.4588184,184.8741257,185.6618894,177.3283723
220597000,1,6.390293375,3096.902932,7.095,180.4288098,174.5305727,172.4191984,166.9381435,173.0414552,172.4191984
220597000,0,8.686141937,4296.406353,2.35,209.5102625,200.5097536,178.961475,187.6615235,183.2619747,177.0453375
220597000,1,9.20937908,4236.086969,3.695,203.5191211,198.1265133,179.6858545,183.8200685,187.0453378,179.5146264
220597000,1,6.22582685,3367.490885,2.595,194.049007,186.5586647,172.6484526,171.2568604,175.1629412,172.4430502
220597000,1,8.91527268,3990.584252,3.495,203.2158045,198.0401401,176.1505091,184.034712,186.1743638,175.8075834
220597000,0,5.934951567,3789.267041,2.53,196.7388845,188.2573489,175.054245,172.0190317,175.6489114,174.2115456
220597000,0,7.016463378,4123.557218,2.35,200.4252219,191.42754,170.3944962,174.0554889,175.3240266,168.3121991
220598000,1,6.850529768,2887.186811,4.795,186.4737232,182.1178411,174.2103868,168.4806091,175.0204883,174.2103868
220598000,0,5.208201252,4554.700036,2.86,192.7358222,187.8418588,175.0491901,167.7290182,175.2595955,174.3073772
220598000,0,6.5848832,4081.243915,3.25,195.8837326,186.590118,169.629139,175.8832259,173.9484603,169.1882475
220598000,0,5.79377482,4540.11835,4.2,190.002507,182.2230623,168.6226266,168.4452971,172.0647466,168.536803
220598000,0,6.05007806,3466.644225,2.35,199.2047665,188.9726797,173.2265849,173.5691276,176.1180749,172.1564401
220598000,0,6.683577732,4259.872288,3.69,192.9359447,186.2576474,167.0699934,172.8853101,174.5937863,166.8435504
220598000,0,5.493558927,3821.399781,3.25,196.1316421,183.823944,174.5897414,174.723228,173.3613573,174.4677958
220598000,0,5.9675504,4188.79647,3.5,195.7777988,188.4009984,175.0576179,173.2202734,177.2898133,174.8131772
220598000,1,6.09084099,3717.581198,4.545,190.951234,185.176277,175.7725295,172.4168904,177.8178325,175.7725295
220598000,0,6.606959131,3886.582179,2.3,200.4313603,190.8904515,172.2036557,174.5718588,176.4563774,170.9757713
220598000,1,5.658884,4115.763849,6.745,184.7690292,179.305326,167.9077732,168.0414769,174.2997957,167.9077732
,,,,,NaN,NaN,NaN,NaN,NaN,NaN
